dataLen,n,processTime,threadTime
200,10,1.0376319885253906,0.6919655799865723
200,20,2.177067279815674,1.3018245697021484
200,30,3.2595531940460205,2.3721508979797363
200,40,4.383192539215088,2.9140713214874268
200,50,5.6256608963012695,3.641422986984253
200,60,6.871966361999512,5.005509376525879
200,70,8.113304376602173,6.298178434371948
200,80,9.56814956665039,5.979779958724976
200,90,10.482083797454834,6.654815673828125
200,100,12.051276206970215,7.772993803024292
400,10,1.0640332698822021,0.6255176067352295
400,20,2.036043405532837,1.2996585369110107
400,30,3.186349391937256,2.132643699645996
400,40,4.31491231918335,3.0210318565368652
400,50,5.397589206695557,3.6789767742156982
