dataLen,n,processTime
200,10,1.1124892234802246
200,20,2.1417601108551025
200,30,3.2461702823638916
200,40,4.749416351318359
200,50,6.379510879516602
200,60,7.123857259750366
200,70,9.355642795562744
200,80,10.463694095611572
200,90,11.812283515930176
200,100,14.117278814315796
400,10,1.1174461841583252
400,20,2.501615285873413
400,30,3.5227270126342773
400,40,4.428032398223877
400,50,5.6990907192230225
400,60,7.11966609954834
400,70,8.166855573654175
400,80,9.625307083129883
400,90,10.613697290420532
400,100,12.836573362350464
600,10,1.1307075023651123
600,20,2.127150535583496
600,30,3.378539800643921
600,40,4.376529216766357
600,50,5.401717662811279
600,60,6.606451511383057
600,70,7.74583625793457
600,80,9.131741523742676
600,90,10.27071738243103
600,100,11.416058540344238
800,10,1.063323736190796
800,20,2.049412965774536
800,30,3.1725645065307617
800,40,4.201847791671753
800,50,5.468371629714966
800,60,6.651052236557007
800,70,7.739486455917358
800,80,8.86296796798706
800,90,9.946624040603638
800,100,11.670389652252197
1000,10,1.043431043624878
1000,20,2.0642168521881104
1000,30,3.1139442920684814
1000,40,4.184577941894531
1000,50,5.314064264297485
1000,60,6.679435729980469
1000,70,7.670101165771484
1000,80,8.791308641433716
1000,90,10.149962902069092
1000,100,11.646321773529053
