n,time,threadTime
1,0.004057407379150391,0.0035326480865478516
1001,0.06830978393554688,0.08710360527038574
2001,0.12343597412109375,0.16802644729614258
3001,0.2631387710571289,0.29714536666870117
4001,0.26076555252075195,0.3345017433166504
5001,0.3210721015930176,0.42773985862731934
6001,0.4033684730529785,0.5003087520599365
7001,0.47061777114868164,0.6054983139038086
8001,0.5554990768432617,0.6769640445709229
9001,0.608374834060669,0.7982828617095947
10001,0.6880521774291992,0.8493659496307373
11001,0.7665853500366211,0.9502818584442139
12001,0.8334145545959473,1.027022361755371
13001,0.9007675647735596,1.1210644245147705
14001,0.9874944686889648,1.2075886726379395
15001,1.0698766708374023,1.292109489440918
16001,1.1172676086425781,1.3766305446624756
17001,1.2189431190490723,1.4613957405090332
18001,1.2733409404754639,1.5667986869812012
19001,1.3834969997406006,1.7081758975982666
